Date,Symbol,Open,High,Low,Close,Adj Close,Volume
26-02-2021,GME,117.459999,142.899994,86,101.739998,101.739998,92194200
01-03-2021,GME,104.540001,133.990005,99.970001,120.400002,120.400002,49794000
02-03-2021,GME,116.93,133.199997,112.199997,118.18,118.18,33783000
03-03-2021,GME,122.510002,127.75,113.120003,124.18,124.18,19273900
04-03-2021,GME,125,147.869995,115.300003,132.350006,132.350006,32606900
05-03-2021,GME,128.169998,151.529999,127.5,137.740005,137.740005,30733700
08-03-2021,GME,154.889999,210.869995,146.100006,194.5,194.5,63565600
09-03-2021,GME,217.710007,249.850006,208.509995,246.899994,246.899994,39099300
10-03-2021,GME,269.429993,348.5,172,265,265,71570600
11-03-2021,GME,241.639999,281.5,232.600006,260,260,28312500
12-03-2021,GME,275,295.5,262.269989,264.5,264.5,25845900
15-03-2021,GME,277.519989,283,206,220.139999,220.139999,24100400
16-03-2021,GME,203.160004,220.699997,172.350006,208.169998,208.169998,35422900
17-03-2021,GME,217.839996,231.470001,204,209.809998,209.809998,16481600
18-03-2021,GME,214,218.880005,195.649994,201.75,201.75,11764900
19-03-2021,GME,195.729996,227,182.660004,200.270004,200.270004,24677300
22-03-2021,GME,205.259995,210.360001,186.199997,194.490005,194.490005,10061500
23-03-2021,GME,197.5,201.75,177.550003,181.75,181.75,14429100
24-03-2021,GME,157.979996,166.970001,118.620003,120.339996,120.339996,24177900
25-03-2021,GME,123.489998,187.5,116.900002,183.75,183.75,50962300
26-03-2021,GME,197.679993,218.929993,163.259995,181,181,37430700
29-03-2021,GME,180.75,193.919998,173.509995,181.300003,181.300003,10042200
30-03-2021,GME,187.5,204.300003,182,194.460007,194.460007,17094900
31-03-2021,GME,197.5,199.460007,187.110001,189.820007,189.820007,8393800
01-04-2021,GME,193.360001,196.970001,183.600006,191.449997,191.449997,9334300
05-04-2021,GME,171,195,164.809998,186.949997,186.949997,14070500
06-04-2021,GME,185.210007,192,183.559998,184.5,184.5,6218300
07-04-2021,GME,183.220001,184.5,176.110001,177.970001,177.970001,4768300
08-04-2021,GME,185.880005,185.880005,164.300003,170.259995,170.259995,10047400
09-04-2021,GME,169.699997,171.580002,153,158.360001,158.360001,9462400
12-04-2021,GME,158.110001,163.899994,135.009995,141.089996,141.089996,16683600
13-04-2021,GME,141.880005,145.380005,132,140.990005,140.990005,6806900
14-04-2021,GME,143.570007,174.089996,143,166.529999,166.529999,21138100
15-04-2021,GME,163,166.25,152.800003,156.440002,156.440002,7856800
16-04-2021,GME,156,160.199997,151.25,154.690002,154.690002,5214700
19-04-2021,GME,171.800003,175.199997,162.330002,164.369995,164.369995,10520200
20-04-2021,GME,164.139999,164.889999,153.360001,158.529999,158.529999,4658600
21-04-2021,GME,158.399994,162.979996,155.919998,158.509995,158.509995,3812800
22-04-2021,GME,159.100006,159.100006,146.860001,151.169998,151.169998,4345800
23-04-2021,GME,149,153.660004,144.699997,151.179993,151.179993,4029100
26-04-2021,GME,150.979996,174.679993,148.759995,168.929993,168.929993,10532100
27-04-2021,GME,183.550003,188,173.169998,177.770004,177.770004,8932700
28-04-2021,GME,172.100006,181.979996,166.029999,178.580002,178.580002,5788900
29-04-2021,GME,176.559998,180.860001,170.75,176.190002,176.190002,3760300
30-04-2021,GME,175,183.800003,172.699997,173.589996,173.589996,4417200
03-05-2021,GME,177.490005,177.490005,159.610001,162.199997,162.199997,5261000
04-05-2021,GME,159,161.490005,151.800003,160.729996,160.729996,4007500
05-05-2021,GME,161.830002,165.5,158.330002,159.479996,159.479996,1789200
06-05-2021,GME,160.860001,164.720001,155.600006,161.009995,161.009995,2942800
07-05-2021,GME,160.110001,167.410004,157.5,161.110001,161.110001,2930200
10-05-2021,GME,161.309998,161.589996,143,143.220001,143.220001,4806700
11-05-2021,GME,137,150.5,136.5,146.919998,146.919998,4684600
12-05-2021,GME,145.699997,150.5,142.229996,144.789993,144.789993,2731500
13-05-2021,GME,147.440002,169.949997,146.429993,164.5,164.5,8873500
14-05-2021,GME,160,166.470001,156.220001,159.919998,159.919998,4285100
17-05-2021,GME,159.850006,182.5,159,180.600006,180.600006,7462100
18-05-2021,GME,174.539993,189.199997,168.270004,180.669998,180.669998,7738700
19-05-2021,GME,171.990005,178.979996,164.149994,168.830002,168.830002,4825900
20-05-2021,GME,170.789993,174.910004,166.899994,170.490005,170.490005,2478200
21-05-2021,GME,171,179.240005,170.330002,176.789993,176.789993,3648400
