Date,Symbol,Open,High,Low,Close,Adj Close,Volume
01-12-2020,DOGE-USD,0.003551,0.003572,0.003269,0.003335,0.003335,80163603
02-12-2020,DOGE-USD,0.003335,0.003436,0.003293,0.003374,0.003374,58705661
03-12-2020,DOGE-USD,0.003375,0.0035,0.003352,0.003428,0.003428,47907032
04-12-2020,DOGE-USD,0.003429,0.003447,0.003285,0.003298,0.003298,45062222
05-12-2020,DOGE-USD,0.003297,0.003414,0.003268,0.003397,0.003397,43386583
06-12-2020,DOGE-USD,0.003397,0.003442,0.003343,0.003388,0.003388,40936574
07-12-2020,DOGE-USD,0.003388,0.0034,0.00332,0.003342,0.003342,36923814
08-12-2020,DOGE-USD,0.003343,0.003361,0.003138,0.003179,0.003179,52702701
09-12-2020,DOGE-USD,0.003179,0.003182,0.003016,0.003158,0.003158,45746722
10-12-2020,DOGE-USD,0.003158,0.003165,0.003066,0.003105,0.003105,33740988
11-12-2020,DOGE-USD,0.003105,0.00311,0.003009,0.003079,0.003079,41712942
12-12-2020,DOGE-USD,0.003079,0.003184,0.003075,0.003163,0.003163,35466155
13-12-2020,DOGE-USD,0.003164,0.003274,0.003153,0.003256,0.003256,37464323
14-12-2020,DOGE-USD,0.003256,0.003279,0.003199,0.003231,0.003231,36238516
15-12-2020,DOGE-USD,0.00323,0.00325,0.003178,0.003206,0.003206,37127782
16-12-2020,DOGE-USD,0.003205,0.003422,0.003186,0.003416,0.003416,50989880
17-12-2020,DOGE-USD,0.003416,0.004113,0.003406,0.00373,0.00373,172736659
18-12-2020,DOGE-USD,0.00373,0.00397,0.003618,0.003858,0.003858,101799430
19-12-2020,DOGE-USD,0.003859,0.004018,0.00381,0.003927,0.003927,98447179
20-12-2020,DOGE-USD,0.003926,0.004678,0.003827,0.004625,0.004625,508066004
21-12-2020,DOGE-USD,0.004627,0.005406,0.004363,0.004787,0.004787,664160057
22-12-2020,DOGE-USD,0.004784,0.004843,0.00437,0.004508,0.004508,239288785
23-12-2020,DOGE-USD,0.004508,0.004735,0.00364,0.003768,0.003768,205080908
24-12-2020,DOGE-USD,0.003768,0.004577,0.003697,0.00457,0.00457,143405580
25-12-2020,DOGE-USD,0.00457,0.004613,0.004395,0.004582,0.004582,136819917
26-12-2020,DOGE-USD,0.004581,0.00464,0.004423,0.004494,0.004494,151728507
27-12-2020,DOGE-USD,0.004493,0.004805,0.004429,0.004548,0.004548,154526399
28-12-2020,DOGE-USD,0.004548,0.004716,0.004523,0.004592,0.004592,99641525
29-12-2020,DOGE-USD,0.004592,0.004608,0.004278,0.004486,0.004486,90876497
30-12-2020,DOGE-USD,0.004487,0.004703,0.004453,0.004636,0.004636,94834499
31-12-2020,DOGE-USD,0.004636,0.004743,0.004553,0.004682,0.004682,85498337
01-01-2021,DOGE-USD,0.004681,0.005685,0.004615,0.005685,0.005685,228961515
02-01-2021,DOGE-USD,0.005686,0.013698,0.005584,0.010615,0.010615,3421562680
03-01-2021,DOGE-USD,0.010602,0.013867,0.009409,0.009771,0.009771,2707003608
04-01-2021,DOGE-USD,0.009785,0.011421,0.007878,0.009767,0.009767,1372398979
05-01-2021,DOGE-USD,0.009767,0.010219,0.008972,0.00992,0.00992,687256067
06-01-2021,DOGE-USD,0.009923,0.010854,0.009685,0.010465,0.010465,749915516
07-01-2021,DOGE-USD,0.010454,0.010532,0.009162,0.009742,0.009742,520644706
08-01-2021,DOGE-USD,0.009743,0.010285,0.008986,0.009846,0.009846,394462164
09-01-2021,DOGE-USD,0.009833,0.01074,0.00974,0.010194,0.010194,485842353
10-01-2021,DOGE-USD,0.010193,0.010867,0.009177,0.00986,0.00986,458583519
11-01-2021,DOGE-USD,0.009858,0.009858,0.00677,0.008835,0.008835,637956958
12-01-2021,DOGE-USD,0.00883,0.009145,0.007904,0.008063,0.008063,333308457
13-01-2021,DOGE-USD,0.008062,0.008646,0.007787,0.008616,0.008616,240079033
14-01-2021,DOGE-USD,0.008619,0.01003,0.008349,0.009397,0.009397,428369039
15-01-2021,DOGE-USD,0.009389,0.009796,0.00846,0.009369,0.009369,398965925
16-01-2021,DOGE-USD,0.009367,0.009531,0.00914,0.009265,0.009265,258630480
17-01-2021,DOGE-USD,0.009263,0.009367,0.008841,0.009067,0.009067,254487989
18-01-2021,DOGE-USD,0.00907,0.009295,0.008981,0.009171,0.009171,205025648
19-01-2021,DOGE-USD,0.009172,0.009613,0.00902,0.009098,0.009098,249242632
20-01-2021,DOGE-USD,0.009096,0.009153,0.008529,0.00906,0.00906,220205442
21-01-2021,DOGE-USD,0.009062,0.009089,0.008061,0.008166,0.008166,215419839
22-01-2021,DOGE-USD,0.008165,0.008769,0.007654,0.008524,0.008524,185490003
23-01-2021,DOGE-USD,0.00852,0.008808,0.008388,0.008579,0.008579,154393737
24-01-2021,DOGE-USD,0.008578,0.008951,0.008516,0.008727,0.008727,162191977
25-01-2021,DOGE-USD,0.008727,0.008879,0.008276,0.008383,0.008383,180820875
26-01-2021,DOGE-USD,0.008382,0.008456,0.008022,0.008255,0.008255,161173749
27-01-2021,DOGE-USD,0.008255,0.008259,0.007294,0.007482,0.007482,204797186
28-01-2021,DOGE-USD,0.007481,0.013826,0.007351,0.012555,0.012555,2125005503
29-01-2021,DOGE-USD,0.043734,0.077973,0.032341,0.047162,0.047162,25403310432
30-01-2021,DOGE-USD,0.046803,0.049901,0.022488,0.028176,0.028176,8735576553
31-01-2021,DOGE-USD,0.028191,0.045289,0.027102,0.037196,0.037196,8548997882
01-02-2021,DOGE-USD,0.037054,0.04325,0.033367,0.034875,0.034875,6319224026
02-02-2021,DOGE-USD,0.03491,0.034926,0.029195,0.03152,0.03152,3090896595
03-02-2021,DOGE-USD,0.031493,0.039105,0.031146,0.03712,0.03712,3146856788
